ID,property_scope,availability,location,size,total_sqft,bath,balcony,buying or not buying,BER,Renovation needed,price-per-sqft-$
0,Extended Coverage,17-Oct,Fingal,2 BED,1056,2,1,No,A,No,419.9280303
1,Land Parcel,Ready To Move,South Dublin,4 Bedroom,2600,5,3,No,D,Yes,523.8461538
2,Constructed Space,Ready To Move,Dun Laoghaire,3 BED,1440,2,3,No,G,Yes,488.6805556
3,Extended Coverage,Ready To Move,South Dublin,3 BED,1521,3,1,No,G,Yes,708.9086128
4,Extended Coverage,Ready To Move,DCC,2 BED,1200,2,1,No,F,Yes,482.375
5,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1170,2,1,Yes,G,Yes,368.6324786
6,Extended Coverage,18-May,Fingal,4 BED,2732,4,,No,A,No,847.510981
7,Extended Coverage,Ready To Move,Fingal,4 BED,3300,4,,No,F,Yes,2063.636364
8,Extended Coverage,Ready To Move,Fingal,3 BED,1310,3,1,No,A,No,548.0053435
9,Land Parcel,Ready To Move,Fingal,6 Bedroom,1020,6,,Yes,C,Maybe,4117.156863
10,Extended Coverage,18-Feb,Dun Laoghaire,3 BED,1800,2,2,Yes,A,No,441.3888889
11,Land Parcel,Ready To Move,Dun Laoghaire,4 Bedroom,2785,5,3,Yes,B,Maybe,1202.244165
12,Extended Coverage,Ready To Move,Fingal,2 BED,1000,2,1,Yes,D,Yes,431.3
13,Constructed Space,Ready To Move,DCC,2 BED,1100,2,2,No,F,Yes,11412.72727
14,Land Parcel,Ready To Move,DCC,3 Bedroom,2250,3,2,Yes,C,Maybe,746.5777778
15,Extended Coverage,Ready To Move,DCC,2 BED,1175,2,2,No,E,Yes,709.9787234
16,Extended Coverage,Ready To Move,DCC,3 BED,1180,3,2,No,E,Yes,461.6949153
17,Extended Coverage,Ready To Move,Fingal,3 BED,1540,3,3,No,E,Yes,442.2077922
18,Extended Coverage,Ready To Move,Fingal,3 BED,2770,4,2,No,C,Maybe,1188.267148
19,Extended Coverage,Ready To Move,Fingal,2 BED,1100,2,2,Yes,F,Yes,4953333.273
20,Constructed Space,Ready To Move,DCC,1 BED,600,1,1,No,D,Yes,283.75
21,Extended Coverage,19-Dec,South Dublin,3 BED,1755,3,1,No,F,Yes,789.002849
22,Land Parcel,Ready To Move,Dun Laoghaire,4 Bedroom,2800,5,2,No,D,Yes,1540.357143
23,Extended Coverage,Ready To Move,DCC,3 BED,1767,3,1,Yes,B,Maybe,661.6015846
24,Extended Coverage,18-Nov,Fingal,1 BED,510,1,0,No,D,Yes,561.9352941
25,Extended Coverage,18-May,Fingal,3 BED,1250,3,2,No,A,No,508.48
26,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,660,1,1,No,C,Maybe,397.25
27,Constructed Space,20-Dec,Dun Laoghaire,3 BED,1610,3,2,No,G,Yes,571.0248447
28,Extended Coverage,17-Oct,DCC,2 BED,1151,2,2,No,C,Maybe,480.9200695
29,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1025,2,1,Yes,A,No,520.4390244
30,Extended Coverage,19-Dec,Dun Laoghaire,4 BED,2100 - 2850,4,0,No,C,Maybe,
31,Extended Coverage,Ready To Move,DCC,3 BED,1075,2,1,Yes,B,Maybe,369.5348837
32,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1760,2,2,Yes,B,Maybe,792223.2102
33,Extended Coverage,Ready To Move,Fingal,3 BED,1693,3,3,Yes,B,Maybe,384.7466037
34,Constructed Space,Ready To Move,South Dublin,3 BED,1925,3,,No,D,Yes,737.012987
35,Extended Coverage,21-Dec,Dun Laoghaire,2 BED,700,2,1,Yes,A,No,583.7142857
36,Extended Coverage,Ready To Move,DCC,2 BED,1070,2,1,No,A,No,482.6401869
37,Extended Coverage,Ready To Move,DCC,3 BED,1724,3,2,No,G,Yes,822.9408353
38,Extended Coverage,Ready To Move,Fingal,3 BED,1290,2,2,No,B,Maybe,493.7689922
39,Constructed Space,Ready To Move,Dun Laoghaire,2 BED,1143,2,2,No,G,Yes,446.8503937
40,Constructed Space,Ready To Move,South Dublin,2 BED,1296,2,,No,B,Maybe,709.375
41,Extended Coverage,19-Dec,Dun Laoghaire,3 BED,1254,3,2,Yes,B,Maybe,343.9393939
42,Extended Coverage,Ready To Move,South Dublin,1 BED,600,1,0,No,B,Maybe,718.8333333
43,Land Parcel,Ready To Move,Dun Laoghaire,1 Bedroom,660,1,0,No,C,Maybe,825.4545455
44,Extended Coverage,19-Sep,Dun Laoghaire,2 BED,1330.74,2,2,No,G,Yes,782.8847108
45,Land Parcel,Ready To Move,DCC,8 Bedroom,600,9,,No,G,Yes,3783.333333
46,Extended Coverage,Ready To Move,Fingal,2 BED,970,2,0,No,B,Maybe,386.1340206
47,Extended Coverage,20-Sep,Dun Laoghaire,2 BED,1459,2,1,No,D,Yes,737.6333105
48,Land Parcel,Ready To Move,DCC,2 Bedroom,800,1,1,No,G,Yes,1844.375
49,Constructed Space,Ready To Move,Fingal,2 BED,869,2,1,No,G,Yes,470.1956272
50,Extended Coverage,Ready To Move,Other,2 BED,1270,2,1,No,C,Maybe,446.8503937
51,Extended Coverage,18-Mar,DCC,3 BED,1670,3,1,Yes,C,Maybe,777672.8443
52,Constructed Space,Ready To Move,Dun Laoghaire,3 BED,2010,3,2,Yes,E,Yes,513.8557214
53,Extended Coverage,Ready To Move,Fingal,2 BED,1185,2,2,No,C,Maybe,718.3544304
54,Extended Coverage,Ready To Move,Dun Laoghaire,3 BED,1600,2,3,Yes,B,Maybe,532.03125
55,Extended Coverage,Ready To Move,DCC,2 BED,1200,2,2,No,E,Yes,416.1666667
56,Constructed Space,20-Feb,DCC,4 Bedroom,3010 - 3410,,,No,A,No,
57,Extended Coverage,Ready To Move,Fingal,2 BED,1500,2,2,Yes,B,Maybe,1399.833333
58,Land Parcel,Ready To Move,South Dublin,6 Bedroom,1407,4,1,No,G,Yes,1210.021322
59,Extended Coverage,Ready To Move,Fingal,2 BED,840,2,2,No,A,No,608.0357143
60,Land Parcel,Ready To Move,Other,3 Bedroom,4395,3,2,Yes,B,Maybe,619.7952218
61,Extended Coverage,Ready To Move,South Dublin,2 BED,845,2,1,Yes,A,No,738.7573964
62,Land Parcel,Ready To Move,Dun Laoghaire,4 Bedroom,5700,5,3,No,F,Yes,1294.298246
63,Constructed Space,Ready To Move,DCC,2 BED,1160,2,2,Yes,F,Yes,430.5172414
64,Constructed Space,Ready To Move,Fingal,8 Bedroom,3000,8,0,Yes,F,Yes,529.6666667
65,Extended Coverage,Ready To Move,Fingal,2 BED,1100,2,1,Yes,B,Maybe,333639.7273
66,Extended Coverage,18-Apr,South Dublin,2 BED,1140,2,3,Yes,F,Yes,428.1140351
67,Extended Coverage,Ready To Move,Fingal,2 BED,1220,2,1,No,G,Yes,530.2868852
68,Land Parcel,Ready To Move,Fingal,8 Bedroom,1350,7,0,No,G,Yes,714.6296296
69,Extended Coverage,Ready To Move,Dun Laoghaire,2 BED,1005,2,1,Yes,F,Yes,414.2467662
70,Land Parcel,Ready To Move,Other,3 Bedroom,500,3,2,No,D,Yes,2270
71,Extended Coverage,20-Aug,DCC,2 BED,1358,2,1,No,G,Yes,673.4779087
72,Extended Coverage,Ready To Move,DCC,3 BED,1569,3,1,Yes,G,Yes,730.6246017
73,Extended Coverage,18-Apr,Fingal,2 BED,1240,2,1,Yes,E,Yes,640.7258065
74,Extended Coverage,Ready To Move,Fingal,3 BED,2089,3,2,No,D,Yes,760.6510292
75,Extended Coverage,Ready To Move,South Dublin,2 BED,1206,2,1,No,D,Yes,453.9054726
76,Extended Coverage,Ready To Move,Fingal,2 BED,1150,2,3,No,G,Yes,394.7826087
77,Constructed Space,Ready To Move,Fingal,3 BED,2511,3,3,No,C,Maybe,926.6228594
78,Constructed Space,Ready To Move,South Dublin,2 BED,460,1,0,No,B,Maybe,542.826087
79,Constructed Space,Ready To Move,South Dublin,6 Bedroom,4400,6,3,No,B,Maybe,644.8863636
80,Extended Coverage,Ready To Move,Other,3 BED,1660,2,2,No,G,Yes,717.9216867
81,Constructed Space,18-Oct,Fingal,4 Bedroom,2957 - 3450,,,Yes,G,Yes,7765.757777
82,Extended Coverage,19-Mar,Dun Laoghaire,2 BED,1326,2,2,Yes,F,Yes,667.6470588
83,Extended Coverage,Ready To Move,South Dublin,3 BED,1325,2,2,Yes,A,No,520.8150943
84,Extended Coverage,Ready To Move,South Dublin,3 BED,1499,5,2,No,G,Yes,772.3148766
85,Constructed Space,Ready To Move,DCC,6 Bedroom,3000,7,2,Yes,E,Yes,794.5
