property_scope,availability,location,bedrooms,total_sqft,bathrooms,balconies,buying_status,BER,renovation_needed,price_per_sqft,sqft_per_room,log_total_sqft,log_price_per_sqft
Extended Coverage,290,Fingal,2,1056.0,2,1,0,1,0,419.93,264.0,6.963189985870238,6.042466549074014
Constructed Space,0,Dun Laoghaire,3,1440.0,2,3,0,7,2,488.68,288.0,7.273092595999522,6.193752116542814
Extended Coverage,0,South Dublin,3,1521.0,3,1,0,7,2,708.91,253.5,7.3277805384216315,6.565138201437182
Extended Coverage,0,DCC,2,1200.0,2,1,0,6,2,482.38,300.0,7.0909098220799835,6.18080309380983
Extended Coverage,0,Dun Laoghaire,2,1170.0,2,1,1,7,2,368.63,292.5,7.065613363597717,5.912502505304687
Extended Coverage,0,Fingal,3,1310.0,3,1,0,1,0,548.01,218.33333333333334,7.1785454837637,6.308116656279888
Extended Coverage,48,Dun Laoghaire,3,1800.0,2,2,1,1,0,441.39,360.0,7.496097345175956,6.092191845974351
Extended Coverage,0,Fingal,2,1000.0,2,1,1,4,2,431.3,250.0,6.90875477931522,6.069119791673586
Land Parcel,0,DCC,3,2250.0,3,2,1,3,1,746.58,375.0,7.719129840906732,6.616841322949616
Extended Coverage,0,DCC,2,1175.0,2,2,0,5,2,709.98,293.75,7.069874128458572,6.566644300012384
Extended Coverage,0,DCC,3,1180.0,3,2,0,5,2,461.69,196.66666666666666,7.074116816197362,6.1370572834036325
Extended Coverage,0,Fingal,3,1540.0,3,3,0,5,2,442.21,256.6666666666667,7.340186835320115,6.094043698355424
Constructed Space,0,DCC,1,600.0,1,1,0,4,2,283.75,300.0,6.398594934535208,5.651611602327291
Extended Coverage,353,South Dublin,3,1755.0,3,1,0,6,2,789.0,292.5,7.470793774195062,6.672032945461067
Extended Coverage,0,DCC,3,1767.0,3,1,1,2,1,661.6,294.5,7.477604243197589,6.496171489865795
Extended Coverage,322,Fingal,1,510.0,1,0,0,4,2,561.94,255.0,6.236369590203704,6.333173050524441
Extended Coverage,138,Fingal,3,1250.0,3,2,0,1,0,508.48,208.33333333333334,7.1316985104669115,6.2333905977215585
Extended Coverage,0,Dun Laoghaire,2,660.0,1,1,0,3,1,397.25,220.0,6.493753839851686,5.987079948790158
Constructed Space,354,Dun Laoghaire,3,1610.0,3,2,0,7,2,571.02,268.3333333333333,7.384610383176974,6.349173955803501
Extended Coverage,290,DCC,2,1151.0,2,2,0,3,1,480.92,287.75,7.049254841255837,6.177778125171474
Extended Coverage,0,Dun Laoghaire,3,1025.0,2,1,1,1,0,520.44,205.0,6.933423025730715,6.256594215089252
Extended Coverage,0,DCC,3,1075.0,2,1,1,2,1,369.53,215.0,6.98100574072173,5.914934413118033
Extended Coverage,0,Fingal,3,1693.0,3,3,1,2,1,384.75,282.1666666666667,7.434847875211999,5.95518949124327
Constructed Space,0,South Dublin,3,1925.0,3,2,0,4,2,737.01,320.8333333333333,7.563200592358071,6.603957374644172
Extended Coverage,355,Dun Laoghaire,2,700.0,2,1,1,1,0,583.71,175.0,6.55250788703459,6.371115997823129
Extended Coverage,0,DCC,2,1070.0,2,1,0,1,0,482.64,267.5,6.976348070447749,6.181340828306046
Extended Coverage,0,DCC,3,1724.0,3,2,0,7,2,822.94,287.3333333333333,7.45298232946546,6.714097711724311
Extended Coverage,0,Fingal,3,1290.0,2,2,0,2,1,493.77,258.0,7.1631723908466425,6.204093008122425
Constructed Space,0,Dun Laoghaire,2,1143.0,2,2,0,7,2,446.85,285.75,7.042286171939743,6.104458354921205
Constructed Space,0,South Dublin,2,1296.0,2,2,0,2,1,709.38,324.0,7.167809184316444,6.5658000381285
Extended Coverage,353,Dun Laoghaire,3,1254.0,3,2,1,2,1,343.94,209.0,7.134890851565884,5.843370488863255
Extended Coverage,0,South Dublin,1,600.0,1,0,0,2,1,718.83,300.0,6.398594934535208,6.579015073020373
Land Parcel,0,Dun Laoghaire,1,660.0,1,0,0,3,1,825.45,330.0,6.493753839851686,6.717139419363362
Extended Coverage,262,Dun Laoghaire,2,1330.74,2,2,0,7,2,782.88,332.685,7.194241636852078,6.664255947410854
Extended Coverage,0,Fingal,2,970.0,2,0,0,2,1,386.13,242.5,6.878326468291325,5.958760553934854
Extended Coverage,263,Dun Laoghaire,2,1459.0,2,1,0,4,2,737.63,364.75,7.286191714702382,6.60479711897784
Constructed Space,0,Fingal,2,869.0,2,1,0,7,2,470.2,217.25,6.76849321164863,6.155282632337377
Extended Coverage,0,Other,2,1270.0,2,1,0,3,1,446.85,317.5,7.147559271189454,6.104458354921205
Constructed Space,0,Dun Laoghaire,3,2010.0,3,2,1,5,2,513.86,335.0,7.606387389772652,6.243895019047085
Extended Coverage,0,Fingal,2,1185.0,2,2,0,3,1,718.35,296.25,7.078341579557671,6.5783480264830425
Extended Coverage,0,Dun Laoghaire,3,1600.0,2,3,1,2,1,532.03,320.0,7.3783837129967145,6.27857770776013
Extended Coverage,0,DCC,2,1200.0,2,2,0,5,2,416.17,300.0,7.0909098220799835,6.033493812583302
Extended Coverage,0,Fingal,2,840.0,2,2,0,1,0,608.04,210.0,6.734591659972948,6.411883946997957
Extended Coverage,0,South Dublin,2,845.0,2,1,1,1,0,738.76,211.25,6.740519359606223,6.606325809269383
Constructed Space,0,DCC,2,1160.0,2,2,1,6,2,430.52,290.0,7.057036981697891,6.06731385939142
Extended Coverage,108,South Dublin,2,1140.0,2,3,1,6,2,428.11,285.0,7.039660349862076,6.061713296316936
Extended Coverage,0,Fingal,2,1220.0,2,1,0,7,2,530.29,305.0,7.107425474110705,6.275308011521814
Extended Coverage,0,Dun Laoghaire,2,1005.0,2,1,1,6,2,414.25,251.25,6.913737350659685,6.028880748493404
Extended Coverage,232,DCC,2,1358.0,2,1,0,7,2,673.48,339.5,7.214504414151143,6.51394202361442
Extended Coverage,0,DCC,3,1569.0,3,1,1,7,2,730.62,261.5,7.358830898342354,6.595261253485862
Extended Coverage,108,Fingal,2,1240.0,2,1,1,5,2,640.73,310.0,7.123672785204607,6.464167654481823
Extended Coverage,0,Fingal,3,2089.0,3,2,0,4,2,760.65,348.1666666666667,7.644919344958857,6.63548713258271
Extended Coverage,0,South Dublin,2,1206.0,2,1,0,4,2,453.91,301.5,7.095893221097532,6.120099597187713
Extended Coverage,0,Fingal,2,1150.0,2,3,0,7,2,394.78,287.5,7.048386408721883,5.980858501320758
Constructed Space,0,South Dublin,2,460.0,1,0,0,2,1,542.83,153.33333333333334,6.133398042996649,6.298636698017643
Extended Coverage,0,Other,3,1660.0,2,2,0,7,2,717.92,332.0,7.415175109613295,6.577750085883833
Extended Coverage,78,Dun Laoghaire,2,1326.0,2,2,1,6,2,667.65,331.5,7.190676034332207,6.5052607543188055
Extended Coverage,0,South Dublin,3,1325.0,2,2,1,1,0,520.82,265.0,7.189922170745808,6.257322700829729
Extended Coverage,0,Dun Laoghaire,3,1665.0,3,2,1,6,2,599.88,277.5,7.418180822726788,6.398395247377756
Extended Coverage,260,South Dublin,2,708.0,2,2,0,6,2,593.15,177.0,6.5638555265321274,6.387131812736035
Extended Coverage,0,DCC,2,1060.0,2,2,0,3,1,621.68,265.0,6.966967138613983,6.4340327431676485
Constructed Space,0,South Dublin,2,1000.0,2,2,0,4,2,794.5,250.0,6.90875477931522,6.678970847777841
Extended Coverage,352,Dun Laoghaire,2,1000.0,2,1,0,7,2,327.79,250.0,6.90875477931522,5.795419249094217
Extended Coverage,0,Fingal,3,1450.0,2,2,0,1,0,547.93,290.0,7.280008252884188,6.3079709288264
Extended Coverage,229,Dun Laoghaire,2,1296.0,2,3,0,6,2,700.62,324.0,7.167809184316444,6.553391946923057
Extended Coverage,0,South Dublin,3,1540.0,3,2,1,1,0,663.31,256.6666666666667,7.340186835320115,6.498748907997604
Extended Coverage,0,South Dublin,3,1330.0,2,1,0,7,2,409.62,266.0,7.193685818395112,6.017668212604618
Constructed Space,0,Fingal,2,1200.0,2,1,0,5,2,614.79,300.0,7.0909098220799835,6.422905996319896
Constructed Space,0,Fingal,3,1200.0,3,1,0,5,2,851.25,200.0,7.0909098220799835,6.747879911018012
Constructed Space,0,Fingal,2,650.0,1,1,0,5,2,296.85,216.66666666666666,6.478509642208569,5.696590004074697
Land Parcel,0,DCC,3,2400.0,2,1,0,7,2,709.38,480.0,7.783640596221253,6.5658000381285
Extended Coverage,0,Fingal,2,1007.0,2,2,0,4,2,484.66,251.75,6.915723448631314,6.185508790596917
Extended Coverage,0,Fingal,2,1200.0,2,2,0,1,0,472.92,300.0,7.0909098220799835,6.161038531079434
Extended Coverage,0,Fingal,2,966.0,2,2,0,1,0,586.3,241.5,6.874198495453294,6.375535762528473
Constructed Space,0,DCC,3,1630.0,2,1,0,5,2,682.39,326.0,7.396948602621014,6.527065706855373
Constructed Space,0,Fingal,2,782.0,2,2,0,1,0,808.14,195.5,6.663132695990803,6.695971955238562
Extended Coverage,109,DCC,2,1260.0,2,2,0,4,2,601.55,315.0,7.13966033596492,6.401170649473401
Extended Coverage,0,Fingal,3,1800.0,3,3,0,3,1,756.67,300.0,7.496097345175956,6.630247934646819
Extended Coverage,0,Fingal,3,1413.0,2,2,1,6,2,602.44,282.6,7.254177846456518,6.402646615545375
Extended Coverage,0,Dun Laoghaire,2,1116.0,2,1,1,7,2,527.94,279.0,7.018401799069201,6.270875003875495
Extended Coverage,0,Dun Laoghaire,3,1530.0,2,1,0,6,2,340.5,306.0,7.333676395657684,5.833347679010845
Extended Coverage,0,DCC,3,1540.0,2,3,0,2,1,471.69,308.0,7.340186835320115,6.158439782508781
Extended Coverage,352,Dun Laoghaire,3,1436.0,3,1,0,3,1,590.82,239.33333333333334,7.270312886079025,6.383202534596146
Extended Coverage,169,DCC,2,1100.0,2,2,0,3,1,773.86,275.0,7.00397413672268,6.652682367873754
Land Parcel,0,Fingal,2,276.0,3,3,0,5,2,945.83,55.2,5.6240175061873385,6.853119562815922
Extended Coverage,0,Dun Laoghaire,3,1427.0,3,2,0,7,2,954.45,237.83333333333334,7.2640301428995295,6.86218243368738
Extended Coverage,0,DCC,3,2061.0,3,1,0,7,2,1101.41,343.5,7.631431664576906,7.005253971335813
Extended Coverage,356,DCC,3,1282.0,2,2,0,7,2,606.63,256.4,7.1569563646156364,6.409566144091278
Constructed Space,0,Fingal,2,1050.0,2,1,0,5,2,367.52,262.5,6.957497370876951,5.909494984240731
Constructed Space,0,South Dublin,3,1600.0,3,2,0,5,2,461.09,266.6666666666667,7.3783837129967145,6.135759677304476
Extended Coverage,21,Fingal,2,945.0,2,1,0,4,2,648.57,236.25,6.852242569051878,6.476310605515025
Extended Coverage,0,DCC,2,1500.0,2,1,0,2,1,590.2,375.0,7.313886831633462,6.382154369633992
Constructed Space,0,Fingal,3,1870.0,3,3,0,5,2,667.65,311.6666666666667,7.534228326274089,6.5052607543188055
Land Parcel,0,DCC,3,1600.0,3,1,0,4,2,532.03,266.6666666666667,7.3783837129967145,6.27857770776013
Extended Coverage,0,Dun Laoghaire,2,880.0,1,1,0,5,2,212.81,293.3333333333333,6.78105762593618,5.365087770181889
Extended Coverage,0,Fingal,3,1535.0,3,2,0,2,1,613.71,255.83333333333334,7.336936913707618,6.4211506118788995
Constructed Space,0,Dun Laoghaire,2,950.0,2,1,1,4,2,681.0,237.5,6.85751406254539,6.525029657843462
Extended Coverage,230,DCC,2,1360.0,2,1,1,3,1,542.46,340.0,7.215975002651466,6.29795610679675
Extended Coverage,138,South Dublin,3,1280.0,3,1,1,4,2,446.91,213.33333333333334,7.155396301896734,6.104592319376169
Extended Coverage,18,Fingal,3,1260.0,2,2,1,6,2,766.12,252.0,7.13966033596492,6.642643242845426
Extended Coverage,0,DCC,3,1563.05,3,1,0,2,1,762.45,260.5083333333333,7.355033889903712,6.63784763462952
Extended Coverage,0,South Dublin,2,1000.0,2,1,0,2,1,681.0,250.0,6.90875477931522,6.525029657843462
Extended Coverage,198,South Dublin,2,1167.0,2,1,1,6,2,425.6,291.75,7.0630481633881725,6.05584680603725
Extended Coverage,0,DCC,3,1828.0,3,2,0,5,2,682.99,304.6666666666667,7.511524648390866,6.527943297632638
Extended Coverage,0,Fingal,2,890.0,2,1,0,5,2,446.35,222.5,6.792344427470809,6.103341285993605
Extended Coverage,0,Fingal,3,1612.0,3,3,0,6,2,329.09,268.6666666666667,7.385851078125209,5.799365344549931
Extended Coverage,109,DCC,3,1710.0,4,2,0,2,1,606.06,244.28571428571428,7.444833273892193,6.408627632961956
Extended Coverage,0,South Dublin,2,957.0,2,1,0,4,2,687.88,239.25,6.86484777797086,6.535067090387909
Extended Coverage,138,South Dublin,3,1250.0,2,3,0,7,2,399.52,250.0,7.1316985104669115,5.992763702839602
Extended Coverage,0,DCC,2,1125.0,2,2,1,3,1,504.44,281.25,7.026426808699636,6.225429337053775
Extended Coverage,199,Fingal,2,1020.0,2,1,0,1,0,340.5,255.0,6.928537818164665,5.833347679010845
Extended Coverage,0,Fingal,2,1200.0,2,2,0,6,2,472.92,300.0,7.0909098220799835,6.161038531079434
Extended Coverage,0,Dun Laoghaire,3,1735.0,3,3,0,7,2,883.14,289.1666666666667,7.459338895220296,6.784615421138998
Extended Coverage,0,Dun Laoghaire,3,2050.0,3,1,0,4,2,802.8,341.6666666666667,7.62608275807238,6.689350482015101
Constructed Space,0,Fingal,3,1350.0,2,3,0,7,2,403.56,270.0,7.208600337960199,6.0028000567717275
Extended Coverage,138,DCC,2,1063.0,2,1,1,4,2,341.67,265.75,6.96979066990159,5.836767884926147
Extended Coverage,0,Fingal,3,1904.0,3,1,1,7,2,894.17,317.3333333333333,7.552237287560802,6.79701364437183
Extended Coverage,0,Fingal,3,2000.0,3,1,0,6,2,993.12,333.3333333333333,7.601402334583733,6.901857923716053
Extended Coverage,0,Fingal,3,1425.0,2,2,0,2,1,597.37,285.0,7.262628600974241,6.394209291713692
Extended Coverage,0,Dun Laoghaire,3,1500.0,2,1,1,6,2,488.05,300.0,7.313886831633462,6.192464733736502
Constructed Space,0,Dun Laoghaire,2,1060.0,2,1,0,6,2,642.45,265.0,6.966967138613983,6.466844323939674
Constructed Space,0,Fingal,3,1470.0,2,2,0,1,0,540.48,294.0,7.293697720601438,6.294306131317586
Extended Coverage,0,Fingal,1,450.0,1,1,1,5,2,277.44,225.0,6.111467339502679,5.629202596300466
Extended Coverage,108,Dun Laoghaire,2,1152.0,2,1,1,2,1,635.48,288.0,7.050122520269059,6.455952995665608
Extended Coverage,0,Dun Laoghaire,3,1350.0,2,1,0,3,1,470.81,270.0,7.208600337960199,6.156576362170743
Extended Coverage,0,Fingal,3,1550.0,3,3,0,4,2,475.97,258.3333333333333,7.346655163176539,6.167453595828728
Land Parcel,0,Other,3,1500.0,3,2,1,4,2,756.67,250.0,7.313886831633462,6.630247934646819
Land Parcel,0,South Dublin,1,400.0,1,0,0,7,2,397.25,200.0,5.993961427306569,5.987079948790158
Extended Coverage,0,DCC,1,705.0,1,2,1,6,2,1078.65,352.5,6.559615237493242,6.984392193520841
Constructed Space,0,Dun Laoghaire,2,770.0,1,1,0,6,2,530.65,256.6666666666667,6.647688373563329,6.275985378097095
Extended Coverage,0,DCC,2,1242.0,2,3,0,1,0,466.06,310.5,7.1252830915107115,6.1464577290734805
Extended Coverage,0,Fingal,3,1700.0,3,2,0,7,2,1034.85,283.3333333333333,7.438971592395862,6.942977624691898
Extended Coverage,0,Dun Laoghaire,3,2144.0,3,2,0,5,2,767.61,357.3333333333333,7.6708948313621175,6.644583688714854
Extended Coverage,172,Fingal,3,1704.0,3,2,1,4,2,732.69,284.0,7.4413203897176174,6.598086596078203
Extended Coverage,0,Dun Laoghaire,2,1070.0,2,1,0,7,2,551.59,267.5,6.976348070447749,6.314616316053408
Extended Coverage,0,Fingal,2,1340.0,2,2,0,7,2,471.79,335.0,7.201170883281678,6.158651315275995
Constructed Space,0,Dun Laoghaire,2,1025.0,2,1,1,2,1,509.37,256.25,6.933423025730715,6.2351359528736525
Extended Coverage,0,Fingal,2,1200.0,2,2,0,2,1,491.83,300.0,7.0909098220799835,6.20016428698978
Constructed Space,352,Dun Laoghaire,4,2250.0,4,1,0,5,2,554.89,281.25,7.719129840906732,6.320570432950707
Extended Coverage,0,South Dublin,3,1550.0,2,3,0,7,2,585.81,310.0,7.346655163176539,6.37470108770508
Extended Coverage,0,Fingal,2,1200.0,2,2,0,2,1,567.5,300.0,7.0909098220799835,6.343001313190591
Extended Coverage,0,Dun Laoghaire,2,1327.0,2,2,1,2,1,838.21,331.75,7.191429330036379,6.732460973121673
Extended Coverage,0,DCC,2,1186.0,2,2,0,6,2,555.06,296.5,7.079184394609668,6.320876202097386
Constructed Space,0,Fingal,3,1783.0,3,1,0,3,1,732.05,297.1666666666667,7.486613313139955,6.597213912384273
Extended Coverage,0,DCC,3,1400.0,3,2,1,6,2,454.0,233.33333333333334,7.244941546337007,6.12029741895095
Extended Coverage,0,South Dublin,2,980.0,2,1,0,7,2,555.92,245.0,6.8885724595653635,6.322421603041085
Extended Coverage,0,South Dublin,2,1285.0,2,2,1,4,2,724.28,321.25,7.1592919047975645,6.586557787192539
Extended Coverage,0,Fingal,3,912.0,2,1,0,6,2,871.16,182.4,6.816735880594968,6.770972893315971
Constructed Space,0,Dun Laoghaire,2,1225.0,2,2,0,4,2,441.03,306.25,7.111512116496157,6.091377753077577
Extended Coverage,0,Dun Laoghaire,2,1075.0,2,1,0,6,2,559.58,268.75,6.98100574072173,6.328971962032919
Constructed Space,0,Fingal,3,1260.0,2,2,0,1,0,486.43,252.0,7.13966033596492,6.189146690384318
Extended Coverage,0,Dun Laoghaire,3,1282.0,2,2,1,5,2,431.16,256.4,7.1569563646156364,6.0687958900443055
Extended Coverage,0,South Dublin,3,1909.0,3,2,0,5,2,523.21,318.1666666666667,7.554858521040676,6.261892367395635
Extended Coverage,0,DCC,2,1359.0,2,1,0,7,2,726.6,339.75,7.215239978730097,6.589751446643967
Constructed Space,0,Fingal,2,1207.0,2,2,0,2,1,409.05,301.75,7.0967213784947605,6.01627910348242
Extended Coverage,0,South Dublin,3,1595.0,3,2,0,3,1,462.54,265.8333333333333,7.3752557780097545,6.138892681174414
Constructed Space,169,Fingal,3,1798.0,3,2,1,4,2,561.82,299.6666666666667,7.4949862339505335,6.332959861211525
Extended Coverage,0,DCC,3,1475.0,3,2,0,2,1,602.43,245.83333333333334,7.297091005160418,6.402630043752224
